55,641584,,,-2,668715,False,0,0,1,2.09,1.97,5.08,4,82.9,2422,Sweeper
56,641584,,,-2,668715,False,0,1,1,1.4005,2.827,4.8519,4,90.6,2204,Sinker
57,641584,,,-2,668715,False,0,2,1,1.4942,2.8368,5.1686,8,84.9,1693,Splitter
58,641584,,,-2,605361,True,0,0,2,2.09,2.08,4.95,14,79.0,2510,Curveball
59,641584,,,-2,605361,True,0,1,2,2.9451,2.2747,4.5365,13,83.3,1505,Splitter
60,641584,,,-2,605361,True,0,2,2,1.5917,1.6699,4.7522,11,92.6,2362,Four-Seam Fastball
61,641584,,,-2,605361,True,1,2,2,1.7261,2.9657,5.0024,13,83.0,1495,Splitter
62,641584,,,-2,605361,True,1,3,2,1.6581,2.4873,4.9345,11,92.6,2358,Four-Seam Fastball
63,,,,-2,663886,False,0,0,0,2.08,2.02,4.91,14,81.6,2260,Sweeper
64,,,,-2,663886,False,0,1,0,3.2906,1.5832,4.7868,14,92.4,2263,Four-Seam Fastball
65,,,,-2,663886,False,1,1,0,2.0,2.4493,5.0829,13,91.0,2124,Sinker
66,,,,-2,663886,False,2,1,0,1.6896,1.9384,5.2865,9,83.2,2453,Sweeper
67,,,,-2,663886,False,2,2,0,1.9722,1.9909,5.0916,1,82.1,2487,Sweeper
68,,,,-2,663697,False,0,0,1,2.06,1.99,4.95,6,83.1,2399,Sweeper
69,,,,-2,663697,False,0,1,1,2.3713,2.7078,4.7735,9,82.2,2472,Sweeper
70,,,,-2,663697,False,0,2,1,2.4767,2.1947,4.7988,5,92.3,2198,Sinker
71,,,,-2,666181,True,0,0,2,1.97,1.98,5.05,6,88.6,2457,Cutter
72,,,,-2,666181,True,0,1,2,2.5152,2.4722,5.0814,3,92.7,2387,Four-Seam Fastball
73,,,,-2,666181,True,1,1,2,2.4675,3.2026,5.2994,8,84.1,1421,Splitter
74,,,,-2,666181,True,1,2,2,2.2472,2.5195,4.9903,13,84.4,1422,Splitter
75,,,,-2,666181,True,2,2,2,1.8822,1.8924,5.0736,13,80.2,2763,Curveball
76,,,,-2,687952,False,0,0,0,1.95,1.95,5.05,5,91.5,2360,Four-Seam Fastball
77,,,,-2,687952,False,0,1,0,1.8131,2.8719,5.199,14,82.3,2347,Sweeper
78,,,,-2,687952,False,1,1,0,2.8217,1.9635,5.0245,5,90.9,2186,Sinker
79,,,,-2,600869,True,0,0,1,1.95,1.96,4.92,2,88.2,2405,Cutter
80,,,,-2,600869,True,0,1,1,2.0011,3.651,5.0883,13,82.6,1432,Splitter
81,,,,-2,600869,True,0,2,1,1.158,2.2699,4.8725,11,91.8,2362,Four-Seam Fastball
82,,,,-2,600869,True,1,2,1,1.1052,3.3585,5.1644,13,83.9,1441,Splitter
83,,,,-2,641584,True,0,0,2,2.03,1.99,4.97,4,83.1,1374,Splitter
84,,641584,,-2,682829,True,0,0,2,1.91,2.06,5.01,11,92.3,2361,Four-Seam Fastball
85,,641584,,-2,682829,True,1,0,2,1.7295,4.4638,5.3653,11,92.3,2386,Four-Seam Fastball
86,,641584,,-2,682829,True,1,1,2,1.3774,4.1012,5.4153,8,80.4,2520,Curveball
87,,682829,,-3,668715,False,0,0,2,2.06,1.95,4.96,7,92.9,2268,Sinker
88,,682829,,-3,668715,False,0,1,2,1.4062,2.0579,5.3199,11,92.6,2393,Four-Seam Fastball
89,,682829,,-3,668715,False,1,1,2,1.5059,3.3062,5.3184,13,84.3,1541,Splitter
90,,682829,,-3,668715,False,1,2,2,1.289,2.8926,5.0356,2,91.8,2113,Sinker
91,,682829,,-3,668715,False,1,3,2,1.5518,2.9968,5.1719,13,91.2,2175,Sinker
92,,682829,,-3,668715,False,2,3,2,1.402,2.5512,5.2185,11,93.1,2503,Four-Seam Fastball
0,,,,0,680977,True,0,0,0,1.98,2.0,5.08,4,94.6,2227,Four-Seam Fastball
1,,,,0,502671,False,0,0,1,2.03,1.94,4.91,5,95.0,2532,Four-Seam Fastball
2,,,,0,502671,False,0,1,1,1.9001,3.0736,5.4413,2,94.1,2125,Sinker
3,,,,0,502671,False,0,2,1,1.8714,3.3256,5.3866,6,82.6,2692,Sweeper
4,,,,0,575929,False,0,0,2,2.02,1.98,5.0,13,94.0,2231,Sinker
5,,,,0,571448,False,0,0,0,1.97,2.03,4.99,9,94.0,2206,Sinker
6,,,,0,571448,False,0,1,0,2.2931,2.3849,5.3535,8,83.0,2638,Sweeper
7,,,,0,669357,True,0,0,1,2.01,2.05,5.08,2,89.0,2471,Cutter
8,,,,0,669357,True,1,0,1,1.9533,3.7898,5.0445,14,93.9,2303,Four-Seam Fastball
9,,,,0,669357,True,2,0,1,2.7058,3.0316,5.4233,7,94.9,2204,Four-Seam Fastball
10,669357,,,0,671056,False,0,0,1,2.01,2.07,5.05,6,94.4,2404,Four-Seam Fastball
11,669357,,,0,671056,False,0,1,1,2.6049,2.2369,5.5566,13,94.1,2190,Sinker
12,669357,,,0,671056,False,0,2,1,1.552,2.3865,5.5151,12,94.6,2488,Four-Seam Fastball
13,669357,,,0,671056,False,1,2,1,2.4938,2.6419,5.4366,14,79.2,2594,Curveball
14,671056,,,0,676475,True,0,0,2,2.01,2.08,4.91,5,89.3,2481,Cutter
15,676475,,671056,0,691026,False,0,0,2,2.03,2.06,5.08,6,83.4,2589,Sweeper
16,676475,,671056,0,691026,False,0,1,2,2.6454,2.7735,4.7408,11,93.6,2404,Four-Seam Fastball
17,676475,,671056,0,691026,False,1,1,2,2.0685,3.6,5.2339,14,94.4,2469,Four-Seam Fastball
18,676475,,671056,0,691026,False,1,2,2,2.4983,2.9215,5.3653,1,94.8,2387,Four-Seam Fastball
19,676475,,671056,0,691026,False,1,3,2,2.0928,3.2649,5.4731,5,81.8,2681,Sweeper
20,676475,,671056,0,691026,False,1,4,2,2.0202,3.1262,5.0915,12,95.2,2456,Four-Seam Fastball
21,676475,,671056,0,691026,False,1,5,2,2.2225,3.0984,5.2262,3,94.6,2471,Four-Seam Fastball
22,676475,,671056,0,691026,False,1,6,2,2.328,3.171,5.2267,14,93.2,2187,Sinker
23,676475,,671056,0,691026,False,2,6,2,2.482,2.4996,5.4124,14,85.6,1489,Splitter
24,,,,0,687363,True,0,0,0,2.02,1.97,5.04,11,77.9,2473,Curveball
25,,,,0,687363,True,1,0,0,1.98,3.3939,4.5529,4,92.8,2266,Four-Seam Fastball
26,,,,0,687363,True,1,1,0,1.4319,2.8654,5.1471,14,85.0,1463,Splitter
27,,,,0,687363,True,2,1,0,2.4446,1.7165,4.9852,7,94.7,2438,Four-Seam Fastball
28,,,,0,687363,True,2,2,0,1.9976,1.945,5.1067,8,80.3,2617,Curveball
29,,,,0,680977,True,0,0,1,1.9,1.97,4.97,3,92.7,2336,Four-Seam Fastball
30,,,,0,680977,True,0,1,1,2.711,3.1599,5.2984,12,88.8,2450,Cutter
31,,,,0,680977,True,1,1,1,2.9556,3.7127,5.1281,7,80.3,2665,Curveball
32,,,,0,502671,False,0,0,2,1.92,1.9,5.01,11,93.9,2273,Sinker
33,,,,0,502671,False,0,1,2,0.7624,2.7894,5.4977,3,93.3,2175,Sinker
34,,,,0,502671,False,0,2,2,1.7472,3.2092,5.4446,14,93.5,2263,Sinker
35,,,,0,502671,False,1,2,2,2.6214,2.6911,5.4046,3,94.1,2353,Four-Seam Fastball
36,,,,0,502671,False,1,3,2,2.5686,2.8529,5.5085,7,85.7,1357,Splitter
